[126, 8, 14, 126, 170, 79, 199, 116, 34, 36, 247, 101, 70, 221, 152, 243] 
[160, 8, 14, 126, 170, 79, 199, 169, 34, 36, 58, 101, 70, 195, 152, 243] 
[106, 149, 48, 57, 192, 227, 20, 34, 3, 47, 212, 137, 122, 100, 194, 135] 
[211, 149, 48, 57, 192, 227, 20, 93, 3, 47, 195, 137, 122, 82, 194, 135] 
[200, 233, 194, 149, 159, 177, 145, 6, 254, 201, 144, 241, 58, 113, 247, 127]
[200, 193, 194, 149, 19, 177, 145, 6, 254, 201, 144, 243, 58, 113, 79, 127]
[179, 116, 233, 30, 169, 39, 59, 22, 231, 252, 175, 163, 43, 57, 22, 251]
[179, 90, 233, 30, 190, 39, 59, 22, 231, 252, 175, 108, 43, 57, 69, 251]
[203, 250, 49, 135, 209, 176, 197, 142, 66, 100, 54, 161, 235, 14, 179, 235]
[203, 250, 31, 135, 209, 242, 197, 142, 39, 100, 54, 161, 235, 14, 179, 131]
[210, 8, 58, 121, 3, 14, 253, 126, 30, 108, 34, 175, 123, 63, 195, 65]
[210, 8, 221, 121, 3, 39, 253, 126, 110, 108, 34, 175, 123, 63, 195, 76]
